"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
115,118,"KEN","Kenya",4,"Busia",25,"Butula",115,"Kingandole",1143,"","Ward","Ward","",""
116,118,"KEN","Kenya",4,"Busia",25,"Butula",116,"Marachi Central",1144,"","Ward","Ward","",""
117,118,"KEN","Kenya",4,"Busia",25,"Butula",117,"Marachi East",1145,"","Ward","Ward","",""
118,118,"KEN","Kenya",4,"Busia",25,"Butula",118,"Marachi North",1146,"","Ward","Ward","",""
119,118,"KEN","Kenya",4,"Busia",25,"Butula",119,"Marachi West",1142,"","Ward","Ward","",""
120,118,"KEN","Kenya",4,"Busia",26,"Funyula",120,"Ageng'A Nanguba",1150,"","Ward","Ward","",""
121,118,"KEN","Kenya",4,"Busia",26,"Funyula",121,"Bwiri",1151,"","Ward","Ward","",""
122,118,"KEN","Kenya",4,"Busia",26,"Funyula",122,"Namboboto Nambuku",1148,"","Ward","Ward","",""
123,118,"KEN","Kenya",4,"Busia",26,"Funyula",123,"Nangina",1149,"","Ward","Ward","",""
124,118,"KEN","Kenya",4,"Busia",27,"Matayos",124,"Bukhayo West",1137,"","Ward","Ward","",""
125,118,"KEN","Kenya",4,"Busia",27,"Matayos",125,"Burumba",1141,"","Ward","Ward","",""
126,118,"KEN","Kenya",4,"Busia",27,"Matayos",126,"Busibwabo",1140,"","Ward","Ward","",""
127,118,"KEN","Kenya",4,"Busia",27,"Matayos",127,"Matayos South",1139,"","Ward","Ward","",""
128,118,"KEN","Kenya",4,"Busia",27,"Matayos",128,"Mayenje",1138,"","Ward","Ward","",""
129,118,"KEN","Kenya",4,"Busia",28,"Nambale",129,"Bukhayo Central",1136,"","Ward","Ward","",""
130,118,"KEN","Kenya",4,"Busia",28,"Nambale",130,"Bukhayo East",1135,"","Ward","Ward","",""
131,118,"KEN","Kenya",4,"Busia",28,"Nambale",131,"Bukhayo North/Waltsi",1134,"","Ward","Ward","",""
132,118,"KEN","Kenya",4,"Busia",28,"Nambale",132,"Nambale Township",1133,"","Ward","Ward","",""
133,118,"KEN","Kenya",4,"Busia",29,"Teso North",133,"Ang'Urai East",1125,"","Ward","Ward","",""
134,118,"KEN","Kenya",4,"Busia",29,"Teso North",134,"Ang'Urai North",1124,"","Ward","Ward","",""
135,118,"KEN","Kenya",4,"Busia",29,"Teso North",135,"Ang'Urai South",1123,"","Ward","Ward","",""
136,118,"KEN","Kenya",4,"Busia",29,"Teso North",136,"Malaba Central",1121,"","Ward","Ward","",""
137,118,"KEN","Kenya",4,"Busia",29,"Teso North",137,"Malaba North",1122,"","Ward","Ward","",""
138,118,"KEN","Kenya",4,"Busia",29,"Teso North",138,"Malaba South",1126,"","Ward","Ward","",""
139,118,"KEN","Kenya",4,"Busia",30,"Teso South",139,"Amukura Central",1132,"","Ward","Ward","",""
140,118,"KEN","Kenya",4,"Busia",30,"Teso South",140,"Amukura East",1131,"","Ward","Ward","",""
141,118,"KEN","Kenya",4,"Busia",30,"Teso South",141,"Amukura West",1130,"","Ward","Ward","",""
142,118,"KEN","Kenya",4,"Busia",30,"Teso South",142,"Ang'Orom",1127,"","Ward","Ward","",""
143,118,"KEN","Kenya",4,"Busia",30,"Teso South",143,"Chakol North",1129,"","Ward","Ward","",""
144,118,"KEN","Kenya",4,"Busia",30,"Teso South",144,"Chakol South",1128,"","Ward","Ward","",""
145,118,"KEN","Kenya",5,"Elgeyo-Marakwet",31,"Keiyo North",145,"Emsoo",741,"","Ward","Ward","",""
146,118,"KEN","Kenya",5,"Elgeyo-Marakwet",31,"Keiyo North",146,"Kamariny",742,"","Ward","Ward","",""
147,118,"KEN","Kenya",5,"Elgeyo-Marakwet",31,"Keiyo North",147,"Kapchemutwa",743,"","Ward","Ward","",""
148,118,"KEN","Kenya",5,"Elgeyo-Marakwet",31,"Keiyo North",148,"Tambach",744,"","Ward","Ward","",""
149,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",149,"Chepkorio",746,"","Ward","Ward","",""
150,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",150,"Kabiemit",749,"","Ward","Ward","",""
151,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",151,"Kaptarakwa",745,"","Ward","Ward","",""
152,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",152,"Metkei",750,"","Ward","Ward","",""
153,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",153,"Soy North",747,"","Ward","Ward","",""
154,118,"KEN","Kenya",5,"Elgeyo-Marakwet",32,"Keiyo South",154,"Soy South",748,"","Ward","Ward","",""
155,118,"KEN","Kenya",5,"Elgeyo-Marakwet",33,"Marakwet East",155,"Endo",733,"","Ward","Ward","",""
156,118,"KEN","Kenya",5,"Elgeyo-Marakwet",33,"Marakwet East",156,"Kapyego",731,"","Ward","Ward","",""
